mso:food.serving_size_structured	mso:food.serving_size_structured.food_unit	mso:type.text
mso:education.academic	mso:education.academic.appointments_fellowships_etc	mso:education.academic_post
mso:comic_books.inker	mso:comic_books.inker.comic_books_inked	mso:comic_books.story
mso:event.watch_video_action	mso:event.watch_video_action.video	mso:tv.video
mso:aviation.airline_alliance	mso:aviation.airline_alliance.number_of_pending_members	mso:measurement_unit.dated_float
mso:people.marriage	mso:people.marriage.divorced	mso:type.boolean
mso:commerce.brand	mso:commerce.brand.consumer_product	mso:commerce.consumer_product
mso:chemistry.chemical_element	mso:chemistry.chemical_element.electron_affinity	mso:chemistry.electron_affinity
mso:music.release_track	mso:music.release_track.track_number	mso:type.decimal
mso:military.casualties	mso:military.casualties.type_of_casualties	mso:military.casualties_type
mso:transportation.road	mso:transportation.road.end2	mso:transportation.road_starting_point
mso:tv.series_episode	mso:tv.series_episode.program_network	mso:tv.network
mso:common.related_internal_concept	mso:common.related_internal_concept.part_of_speech	mso:language.part_of_speech
mso:games.designer	mso:games.designer.games_designed	mso:games.game
mso:film.dubbing_performance	mso:film.dubbing_performance.film	mso:film.film
mso:sports.sports_tournament_round	mso:sports.sports_tournament_round.games	mso:sports.game
mso:astronomy.trans_neptunian_object	mso:astronomy.trans_neptunian_object.trans_neptunian_region	mso:astronomy.trans_neptunian_region
mso:organization.leadership	mso:organization.leadership.title	mso:type.text
mso:real_estate.house	mso:real_estate.house.nearby_schools	mso:real_estate.school_distance_relationship
mso:media_common.video_offer	mso:media_common.video_offer.language	mso:language.human_language
mso:spaceflight.satellite_orbit_asynchronous	mso:spaceflight.satellite_orbit_asynchronous.inclination	mso:type.decimal
mso:food.recipe	mso:food.recipe.video	mso:media_common.video_offer
mso:olympics.games	mso:olympics.games.demonstration_sports	mso:olympics.sport
mso:event.watch_video_action	mso:event.watch_video_action.film	mso:film.film
mso:book.periodical_publisher_period	mso:book.periodical_publisher_period.to	mso:type.datetime
mso:comic_books.character	mso:comic_books.character.first_appearance	mso:comic_books.issue
mso:computer.software	mso:computer.software.language_specific_datatypes	mso:computer.programming_language
mso:comic_books.genre	mso:comic_books.genre.stories_in_this_genre	mso:comic_books.story
mso:engineering.wind_turbine_power_rating	mso:engineering.wind_turbine_power_rating.wind_speed	mso:type.decimal
mso:computer.programming_language	mso:computer.programming_language.dialects	mso:computer.programming_language
mso:law.us_patent	mso:law.us_patent.us_patent_type	mso:law.us_patent_type
mso:aviation.flight_preference	mso:aviation.flight_preference.meal	mso:food.cuisine
mso:biology.organism	mso:biology.organism.children	mso:biology.organism
mso:spaceflight.rocket_engine	mso:spaceflight.rocket_engine.rocket_engine_designer	mso:spaceflight.rocket_engine_designer
mso:location.location	mso:location.location.judicial_capital	mso:location.location
mso:boats.ship_class	mso:boats.ship_class.endurance_days	mso:type.decimal
mso:sports.league	mso:sports.league.league	mso:sports.league
mso:basketball.player_stats	mso:basketball.player_stats.rebounds	mso:type.decimal
mso:ice_hockey.conference	mso:ice_hockey.conference.divisions	mso:ice_hockey.division
mso:book.character	mso:book.character.short_story	mso:book.short_story
mso:organization.organization	mso:organization.organization.type	mso:organization.type
mso:food.beer_containment	mso:food.beer_containment.beer_container	mso:food.beer_container
mso:sports.auto_racer_statistics	mso:sports.auto_racer_statistics.fastest_laps	mso:type.decimal
mso:medicine.symptom	mso:medicine.symptom.includes_symptoms	mso:medicine.symptom
mso:sports.auto_racing_team	mso:sports.auto_racing_team.last_race	mso:sports.auto_race
mso:fictional_universe.agent	mso:fictional_universe.agent.religion	mso:fictional_universe.religion
mso:sports.sports_team_coach_tenure	mso:sports.sports_team_coach_tenure.to	mso:type.datetime
mso:event.buy_action	mso:event.buy_action.film_showing	mso:film.showtime
mso:engineering.piston_configuration	mso:engineering.piston_configuration.number_of_pistons	mso:type.decimal
mso:measurement_unit.datetime_specification	mso:measurement_unit.datetime_specification.date_range_start	mso:type.datetime
mso:education.academic_post	mso:education.academic_post.academic_institution	mso:education.academic_institution
mso:book.contents	mso:book.contents.publication	mso:book.written_work
mso:cricket.bowler_stats	mso:cricket.bowler_stats.competition_form	mso:cricket.match_type
mso:cricket.roster_bowling	mso:cricket.roster_bowling.roster	mso:cricket.roster
mso:soccer.referee	mso:soccer.referee.assistant_referee_at	mso:soccer.match
mso:location.geobound	mso:location.geobound.northeastern_point	mso:location.geocode
mso:common.webpage	mso:common.webpage.response_type	mso:common.webpage_response_type
mso:geography.reservoir	mso:geography.reservoir.active_capacity	mso:type.decimal
mso:biology.amino_acid	mso:biology.amino_acid.single_letter_abbreviation	mso:type.text
mso:games.lottery_prize	mso:games.lottery_prize.match_type	mso:type.text
mso:fictional_universe.romantic_involvement	mso:fictional_universe.romantic_involvement.character	mso:fictional_universe.character
mso:skiing.ski_area_run_difficulty	mso:skiing.ski_area_run_difficulty.total_length	mso:type.decimal
mso:olympics.games	mso:olympics.games.host_city	mso:location.city
mso:spaceflight.satellite	mso:spaceflight.satellite.dry_mass_kg	mso:type.decimal
mso:internet.social_network_user	mso:internet.social_network_user.likes	mso:type.decimal
mso:business.company_termination_type	mso:business.company_termination_type.companies	mso:business.defunct_company
mso:media_common.content_rating	mso:media_common.content_rating.minimum_accompanied_age	mso:type.decimal
mso:astronomy.orbital_relationship	mso:astronomy.orbital_relationship.semi_major_axis	mso:type.decimal
mso:boats.ship	mso:boats.ship.imo_lr_identification_number	mso:type.decimal
mso:statistics.health_group	mso:statistics.health_group.malnutrition_prevalence_weight_for_age	mso:measurement_unit.dated_percentage
mso:event.physical_exercise	mso:event.physical_exercise.calories_burned	mso:type.decimal
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.molar_mass_units	mso:measurement_unit.unit_of_molar_mass
mso:education.educational_institution	mso:education.educational_institution.primary_language	mso:language.human_language
mso:baseball.batting_statistics	mso:baseball.batting_statistics.doubles	mso:type.decimal
mso:statistics.health_group	mso:statistics.health_group.adult_mortality_rate_per_thousand	mso:measurement_unit.dated_float
mso:music.artist	mso:music.artist.subgenre	mso:music.genre
mso:commerce.refrigerator	productsearch:commerce.refrigerator.number_of_freezer_shelves	mso:type.string
mso:religion.deity	mso:religion.deity.deity_of	mso:religion.deity
mso:spaceflight.rocket_engine	mso:spaceflight.rocket_engine.government_designation	mso:type.text
mso:cricket.roster	mso:cricket.roster.coach	mso:cricket.coach
mso:astronomy.extraterrestrial_location	mso:astronomy.extraterrestrial_location.contained_by	mso:astronomy.extraterrestrial_location
mso:common.entity_ranking	mso:common.entity_ranking.impression_decay	mso:measurement_unit.dated_float
mso:chemistry.solubility_relationship	mso:chemistry.solubility_relationship.solvent	mso:chemistry.chemical_compound
mso:commerce.digital_camera	mso:commerce.digital_camera.image_ratio	mso:commerce.digital_camera_image_ratio
mso:film.film	mso:film.film.music	mso:music.artist
mso:education.cost	mso:education.cost.local_graduate_tuition	mso:measurement_unit.dated_money_value
mso:opera.character	mso:opera.character.portrayed_by	mso:opera.role
mso:film.showtime	mso:film.showtime.film	mso:film.film
mso:ratings.review	mso:ratings.review.rating_scale	mso:type.decimal
mso:media_common.quotation	mso:media_common.quotation.character	mso:fictional_universe.character
mso:geology.rock_type	mso:geology.rock_type.parent_rock_type	mso:geology.rock_type
mso:law.broad_patent_classification_relationship	mso:law.broad_patent_classification_relationship.country	mso:location.country
mso:biology.genome	mso:biology.genome.genome_build	mso:biology.genome_build
mso:language.phoneme_usage	mso:language.phoneme_usage.language	mso:language.human_language
mso:biology.plant	mso:biology.plant.introduction_date	mso:type.datetime
mso:fashion.textile	mso:fashion.textile.weave	mso:fashion.weave
mso:organization.organization	mso:organization.organization.place_founded	mso:location.location
mso:film.film	mso:film.film.country_ranking	mso:film.country_ranking
mso:automotive.opt_trim_relationship	mso:automotive.opt_trim_relationship.option	mso:automotive.option
mso:education.cost	mso:education.cost.local_tuition	mso:measurement_unit.dated_money_value
mso:event.buy_action	mso:event.buy_action.seller	mso:event.agent
mso:baseball.division	mso:baseball.division.teams	mso:baseball.team
mso:sports.season	mso:sports.season.awards	mso:sports.award
mso:event.big_moment	mso:event.big_moment.audio_track	mso:media_common.audio_offer
mso:media_common.discussion_thread	mso:media_common.discussion_thread.thread_type	mso:type.string
mso:food.cheese	mso:food.cheese.rind	mso:type.text
mso:commerce.treadmill	productsearch:commerce.treadmill.running_surface_width	mso:type.string
mso:food.cheese	mso:food.cheese.farm_company	mso:type.text
mso:geography.island	mso:geography.island.max_width	mso:type.decimal
mso:business.employment_tenure	mso:business.employment_tenure.label	mso:business.employment_tenure_label
mso:commerce.digital_camera	mso:commerce.digital_camera.viewfinder_type	mso:commerce.digital_camera_viewfinder_type
mso:spaceflight.astronaut	mso:spaceflight.astronaut.space_agency	mso:spaceflight.space_agency
mso:media_common.video_offer	mso:media_common.video_offer.target_device	mso:media_common.device
mso:baseball.team_stats	mso:baseball.team_stats.losses	mso:type.decimal
mso:rail.train	mso:rail.train.number_in_service	mso:type.decimal
mso:commerce.brand_color	mso:commerce.brand_color.from_date	mso:type.datetime
mso:commerce.consumer_product	mso:commerce.consumer_product.brand	mso:commerce.brand
mso:music.artist	mso:music.artist.ranked_albums	mso:list.list
mso:computer.uml_tool	mso:computer.uml_tool.xmi_import	mso:application.software_version
mso:transportation.traffic_incident	mso:transportation.traffic_incident.start_latitude	mso:type.decimal
mso:comic_books.series	mso:comic_books.series.publisher	mso:comic_books.publisher
mso:sports.record	mso:sports.record.record_holder	mso:sports.athlete
mso:sports.player_debut	mso:sports.player_debut.debut_team	mso:sports.team
mso:travel.leisure_activity	mso:travel.leisure_activity.type	mso:type.string
mso:fictional_universe.character	mso:fictional_universe.character.character_occupation	mso:fictional_universe.character_occupation
mso:projects.project	mso:projects.project.submitted_by	mso:event.agent
mso:language.human_language	mso:language.human_language.region	mso:location.location
mso:cricket.roster	mso:cricket.roster.roster_in_match	mso:cricket.match
mso:local.guest_visit	mso:local.guest_visit.dates	mso:type.datetime
mso:law.us_patent	mso:law.us_patent.us_patent_category	mso:law.us_patent_category
mso:commerce.product_recall	mso:commerce.product_recall.company	mso:business.operation
mso:royalty.noble_title	mso:royalty.noble_title.noble_rank	mso:royalty.noble_rank
mso:biology.animal_breed	mso:biology.animal_breed.temperament	mso:type.text
mso:book.edition	mso:book.edition.binding	mso:book.binding
mso:measurement_unit.monetary_range	mso:measurement_unit.monetary_range.currency	mso:finance.currency
mso:games.lottery_drawing	mso:games.lottery_drawing.winning_number	mso:type.string
mso:education.school_district	mso:education.school_district.lowest_grade_taught	mso:education.grade_level
mso:computer.computer	mso:computer.computer.sim_card_type	mso:type.text
mso:medicine.new_patient_acceptance	mso:medicine.new_patient_acceptance.accepts	mso:type.boolean
mso:wine.wine	mso:wine.wine.region	mso:wine.region
mso:broadcast.broadcast	mso:broadcast.broadcast.frequency	mso:broadcast.frequency
mso:music.track	mso:music.track.lyrics_website	mso:common.webpage
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.pressure_unit	mso:measurement_unit.pressure_unit
mso:statistics.education_group	mso:statistics.education_group.expenditure_tertiary_student_gdp_per_capita	mso:measurement_unit.dated_percentage
mso:architecture.lighthouse	mso:architecture.lighthouse.nga_number	mso:type.string
